normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
semantics,[CORE:acronym] Semantics - International Conference on Semantic Systems | [SJR:norm_title] Journal of Semantics,"CORE Regional: Austria, Germany, Netherlands | SJR Q1",acronym | norm_title,0,,"[CORE Regional: Austria, Germany, Netherlands] Semantics - International Conference on Semantic Systems",,Y
semiconductors,[SJR:norm_title] Journal of Semiconductors | [SJR:norm_title] Semiconductors,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Semiconductors,,Y
sexual health,[SJR:norm_title] International Journal of Sexual Health | [SJR:norm_title] Sexual Health,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Sexual Health,,Y
sexual medicine,[SJR:norm_title] Journal of Sexual Medicine | [SJR:norm_title] Sexual Medicine,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Sexual Medicine,,Y
slovo,[SJR:norm_title] Slovo (Croatia) | [SJR:norm_title] Slovo,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Slovo,,Y
social history,[SJR:norm_title] Journal of Social History | [SJR:norm_title] Social History,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Social History,,Y
social work,[SJR:norm_title] Journal of Social Work | [SJR:norm_title] International Social Work | [SJR:norm_title] Social Work,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Social Work,,Y
sociology,[SJR:norm_title] Sociology | [SJR:norm_title] Journal of Sociology | [SJR:norm_title] International Sociology | [SJR:norm_title] International Journal of Sociology,SJR Q1 | SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Sociology,,Y
sociology education,[SJR:norm_title] Sociology of Education | [SJR:norm_title] International Journal of Sociology of Education,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Sociology of Education,,Y
soil science plant nutrition,[SJR:norm_title] Journal of Soil Science and Plant Nutrition | [SJR:norm_title] Soil Science and Plant Nutrition,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Soil Science and Plant Nutrition,,Y
sophia,[SJR:norm_title] Sophia | [SJR:norm_title] Sophia (Ecuador),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Sophia (Ecuador),,Y
space science technology,[SJR:norm_title] Space: Science and Technology (United States) | [SJR:norm_title] Space Science and Technology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Space Science and Technology,,Y
special education,[SJR:norm_title] Journal of Special Education | [SJR:norm_title] International Journal of Special Education,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Special Education,,Y
sport exercise psychology,[SJR:norm_title] International Journal of Sport and Exercise Psychology | [SJR:norm_title] Journal of Sport and Exercise Psychology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Sport and Exercise Psychology,,Y
sport history,[SJR:norm_title] Sport in History | [SJR:norm_title] Journal of Sport History,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Sport History,,Y
sport society,[SJR:norm_title] Sport in Society | [SJR:norm_title] International Journal of Sport and Society,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Sport and Society,,Y
stem cells,[SJR:norm_title] Stem Cells | [SJR:norm_title] Stem Cells International | [SJR:norm_title] International Journal of Stem Cells | [SJR:norm_title] Journal of Stem Cells,SJR Q1 | SJR Q2 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Stem Cells,,Y
stem education,[SJR:norm_title] International Journal of STEM Education | [SJR:norm_title] STEM Education,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] STEM Education,,Y
structural engineering,[SJR:norm_title] Journal of Structural Engineering | [SJR:norm_title] Structural Engineering International | [SJR:norm_title] International Journal of Structural Engineering | [SJR:norm_title] Journal of Structural Engineering (India),SJR Q1 | SJR Q2 | SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Structural Engineering (India),,Y
surgical oncology,[SJR:norm_title] Surgical Oncology | [SJR:norm_title] Journal of Surgical Oncology | [SJR:norm_title] International Journal of Surgical Oncology,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Surgical Oncology,,Y
sustainable development,[SJR:norm_title] Sustainable Development | [SJR:norm_title] International Journal of Sustainable Development,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Sustainable Development,,Y
theological studies,[SJR:norm_title] Theological Studies | [SJR:norm_title] Journal of Theological Studies,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Theological Studies,,Y
theoria,[SJR:norm_title] Theoria (Sweden) | [SJR:norm_title] Theoria (Spain),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Theoria (Spain),,Y
theory,[SJR:norm_title] International Theory | [SJR:norm_title] Theory Workshop,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Theory Workshop,,Y
tissue engineering regenerative medicine,[SJR:norm_title] Tissue Engineering and Regenerative Medicine | [SJR:norm_title] Journal of Tissue Engineering and Regenerative Medicine,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Tissue Engineering and Regenerative Medicine,,Y
topoi,[SJR:norm_title] Topoi | [SJR:norm_title] Topoi (Brazil),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Topoi (Brazil),,Y
tourism research,[SJR:norm_title] International Journal of Tourism Research | [SJR:norm_title] Proceedings of the International Conference on Tourism Research,SJR Q1 | SJR -,norm_title,0,,[SJR -] Proceedings of the International Conference on Tourism Research,,Y
tourism review,[SJR:norm_title] Tourism Review | [SJR:norm_title] Tourism Review International,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Tourism Review International,,Y
toxicological sciences,[SJR:norm_title] Toxicological Sciences | [SJR:norm_title] Journal of Toxicological Sciences,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Toxicological Sciences,,Y
toxicology,[SJR:norm_title] Toxicology | [SJR:norm_title] Journal of Toxicology | [SJR:norm_title] International Journal of Toxicology | [SJR:norm_title] Toxicology International,SJR Q1 | SJR Q2 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Toxicology International,,Y
transfer,[SJR:norm_title] Transfer | [SJR:norm_title] Transfer (Spain),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Transfer (Spain),,Y
translational medicine,[SJR:norm_title] Journal of Translational Medicine | [SJR:norm_title] International Journal of Translational Medicine,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Translational Medicine,,Y
tribology,[SJR:norm_title] Tribology International | [SJR:norm_title] Journal of Tribology | [SJR:norm_title] Tribology,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Tribology,,Y
tropical medicine health,[SJR:norm_title] Tropical Medicine and International Health | [SJR:norm_title] Tropical Medicine and Health,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Tropical Medicine and Health,,Y
veterinary parasitology,[SJR:norm_title] Veterinary Parasitology | [SJR:norm_title] Journal of Veterinary Parasitology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Veterinary Parasitology,,Y
veterinary research,[SJR:norm_title] Veterinary Research | [SJR:norm_title] Journal of Veterinary Research (Poland) | [SJR:norm_title] Journal of Veterinary Research,SJR Q1 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Veterinary Research,,Y
virology,[SJR:norm_title] Journal of Virology | [SJR:norm_title] Virology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Virology,,Y
water,[SJR:norm_title] Water (Switzerland) | [SJR:norm_title] Water International | [SJR:norm_title] International Journal of Water,SJR Q1 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Water,,Y
women s health,[SJR:norm_title] Women's Health | [SJR:norm_title] Journal of Women's Health | [SJR:norm_title] International Journal of Women's Health,SJR Q1 | SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Women's Health,,Y
zoology,[SJR:norm_title] Journal of Zoology | [SJR:norm_title] Zoology | [SJR:norm_title] International Journal of Zoology,SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Zoology,,Y
